count,word
23135851162,THE
13151942776,OF
12997637966,AND
12136980858,TO
9081174698,A
8469404971,IN
5933321709,FOR
4705743816,IS
3750423199,ON
3400031103,THAT
3350048871,BY
3228469771,THIS
3183110675,WITH
3086225277,I
2996181025,YOU
2813163874,IT
2633487141,NOT
2590739907,OR
2398724162,BE
2393614870,ARE
2275595356,FROM
2272272772,AT
2247431740,AS
2062066547,YOUR
2022459848,ALL
1564202750,HAVE
1551258643,NEW
1544771673,MORE
1518266684,AN
1483428678,WAS
1390661912,WE
1356293641,WILL
1276852170,HOME
1242323499,CAN
1229112622,US
1226734006,ABOUT
1134987907,IF
1082121730,PAGE
1059793441,MY
1046319984,HAS
1024093118,SEARCH
1014107316,FREE
999899654,BUT
998757982,OUR
993536631,ONE
978481319,OTHER
950751722,DO
937112320,NO
932594387,INFORMATION
908705570,TIME
883223816,THEY
844310242,SITE
842847219,HE
829969374,UP
827822032,MAY
812395582,WHAT
810514085,WHICH
782849411,THEIR
755424983,NEWS
741601852,OUT
719980257,USE
710741293,ANY
701170205,THERE
681410380,SEE
661844114,ONLY
661809559,SO
660177731,HIS
650621178,WHEN
645824184,CONTACT
639711198,HERE
637134177,BUSINESS
630927278,WHO
619571575,WEB
616829742,ALSO
611387736,NOW
611054034,HELP
605984508,GET
602279334,VIEW
601317059,ONLINE
596623239,C
593086170,E
578161543,FIRST
576436203,AM
575019382,BEEN
572644147,WOULD
571848080,HOW
570699558,WERE
566617666,ME
565123981,S
562206804,SERVICES
548829454,SOME
541003982,THESE
536746424,CLICK
525627757,ITS
520585287,LIKE
519537222,SERVICE
508609523,X
502609275,THAN
502043038,FIND
501651226,PRICE
488967374,DATE
488024109,BACK
484213771,TOP
480303376,PEOPLE
480232730,HAD
472590641,LIST
464532702,NAME
462836169,JUST
459222855,OVER
453104133,STATE
451092583,YEAR
446236148,DAY
445315294,INTO
443949646,EMAIL
441398439,TWO
440416431,HEALTH
437961375,N
431934249,WORLD
430847564,RE
425903347,NEXT
421438139,USED
421086358,GO
419765694,B
419483948,WORK
417601616,LAST
416210411,MOST
414377632,PRODUCTS
414028837,MUSIC
410780176,BUY
406908328,DATA
405084642,MAKE
403000411,THEM
402028056,WOULDN'T
402028056,SHOULD
399116355,PRODUCT
396975018,SYSTEM
392956436,POST
391961061,HER
390564835,CITY
388448018,T
387231739,ADD
384401868,POLICY
383787805,NUMBER
380725892,SUCH
380046348,PLEASE
379644437,AVAILABLE
373906735,COPYRIGHT
373512569,SUPPORT
373081242,MESSAGE
372948094,AFTER
371852748,BEST
370517038,SOFTWARE
369928941,THEN
365796396,GOOD
365410017,VIDEO
362082755,WELL
361493758,D
360468339,WHERE
352363058,INFO
352051342,RIGHTS
349286123,PUBLIC
347710184,BOOKS
345413157,HIGH
343057316,SCHOOL
342373303,THROUGH
341583838,COULDN'T
341583838,M
340892856,EACH
339926541,LINKS
339171382,SHE
339067778,REVIEW
337841309,YEARS
336631187,ORDER
334923368,VERY
333272427,PRIVACY
330959949,BOOK
330505325,ITEMS
324272258,COMPANY
323534251,R
322331766,READ
321842984,GROUP
320105999,SEX
319376932,NEED
318966441,MANY
316446229,USER
315595259,SAID
